ID	Link	Title	Description	⭐	Tier #	Earliest Plausible	Recommended calc	Recommended	Expected calc	Expected	Dependency	Modifier recommended (dependency)	Modifier expected (dependency)	Bracket (hours)	Modifier recommended (bracket)	Modifier expected (bracket)	IRL-time	Modifier recommended (irl time)	Modifier expected (irl time)
5WXB	View	Collect 60 shards in Familiarisation	After collecting 60 shards, a reward must be claimed.	1	1	Beginner	1.2		1.5	Beginner	None			0.26-0.50	0.2	0.5	None	0	0
85B3	View	Complete the listed Clan citadel achievements	Using the Clan Citadel of the "Maxed" clan is an option. One of the achievements requires the player to enter their own clan citadel, if the citadel is not open, a total of 5 of your clans players need to attempt to enter the citadel within 24 hours.	1	1	Beginner	1		1.25	Beginner	None			0-0.25	0	0.25	None	0	0
E2D4	View	Locate One-Eyed Willy	Find a message in a bottle for a map to this castaway - visible every other day.	1	1	Beginner	1		1.25	Beginner	None			0-0.25	0	0.25	None	0	0
2QV4	View	Locate Milky Joel	Find a message in a bottle for a map to this castaway - visible every day.	1		Tutorial	0		0.25	Beginner	None			0-0.25	0	0.25	None	0	0
5Q43	View	Complete the Chicken breeding log	Completing the log requires all variants of the species to be bred, shinies included.	1	1	Beginner	1.7	Beginner	2.25	Easy	Drop RNG	0.5	0.75	0.26-0.50	0.2	0.5	None	0	0
WV4J	View	Complete the Rabbit breeding log	Completing the log requires all variants of the species to be bred, shinies included.	1	1	Beginner	1.7	Beginner	2.25	Easy	Drop RNG	0.5	0.75	0.26-0.50	0.2	0.5	None	0	0
VM56	View	Construct the four deposit boxes found on Anachronia	Each deposit box requires 30,000 wood and stone to construct.	3	1	Beginner	1.9	Beginner	2.5	Easy	None			0.51-0.75	0.4	0.75	1-7 days	0.5	0.75
6Q99	View	Dig up a Clue scroll using the Meerkat familiar's special move	A Summoning level of 4 is required. Use the Meerkat's special move called fetch casket. The pouches and scrolls can both be obtained as a general reward from any tier of Treasure Trail. The pouch can be turned into scrolls if so needed.	1	1	Beginner	1.5	Beginner	2	Easy	Drop RNG	0.5	0.75	0-0.25	0	0.25	None	0	0
85V6	View	Find a Cocoa Macaw	Find this bird for your Arc Journal on Mondays, Wednesdays, Fridays, Saturdays and Sundays - on Uncharted Isles.	1	1	Beginner	1.9	Beginner	2.5	Easy	None			0.51-0.75	0.4	0.75	1-7 days	0.5	0.75
M4BQ	View	Find a Crested Sillago Snatcher	Find this bird for your Arc Journal on Mondays - on Whale's Maw next to the eastern docks with Hubbub the Whaler.	1	1	Beginner	1.9	Beginner	2.5	Easy	None			0.51-0.75	0.4	0.75	1-7 days	0.5	0.75
987B	View	Find a Dusky Wigglebill	Find this bird for your Arc Journal on Tuesdays - at dusk in Aminishi's spirit realm, at the west beach. Also appears on Uncharted Isles using the Dusk skybox.	1	1	Beginner	1.9	Beginner	2.5	Easy	None			0.51-0.75	0.4	0.75	1-7 days	0.5	0.75
YV25	View	Find a Fluffy Jublet	Find this bird for your Arc Journal on Mondays, Wednesdays, Fridays, Saturdays and Sundays - on Uncharted Isles.	1	1	Beginner	1.9	Beginner	2.5	Easy	None			0.51-0.75	0.4	0.75	1-7 days	0.5	0.75
4QVE	View	Find a Gongdung Peligorn	Find this bird for your Arc Journal on Wednesdays - on Goshima at the south-western beach.	1	1	Beginner	1.9	Beginner	2.5	Easy	None			0.51-0.75	0.4	0.75	1-7 days	0.5	0.75
Z2RX	View	Find a Shrine Ibis	Find this bird for your Arc Journal on Tuesdays - on Aminishi near the statue that's used by the monks in a cleansing ritual.	1	1	Beginner	1.9	Beginner	2.5	Easy	None			0.51-0.75	0.4	0.75	1-7 days	0.5	0.75
NXMW	View	Find a Titchy Tinamou	Find this bird for your Arc Journal on Fridays - on The Islands That Once Were Turtles, and on Uncharted Isles on Tuesdays and Thursdays.	1	1	Beginner	1.9	Beginner	2.5	Easy	None			0.51-0.75	0.4	0.75	1-7 days	0.5	0.75
