passiveTaskCode	passiveTitle	passiveDescription	passiveStarRating	passiveCategory1	passiveCategory2	passiveCategory3	passivePlacementReason
9EBV	The lodestones are active sir	Activate all lodestones. Completion of the quests Jack of Spades, Lunar Diplomacy, Regicide, Desert Treasure and Plague's End are required.	3	-	-	Hard	Prifddinas access
25ZV	Unlock Mune's Desert form after completing the Desert task set	Mune, the area pet can be found wandering the Desert on Monday if you have finished the Elite Desert task set.	5	-	-	Master	Diary completion
EQJQ	Unlock Mune's Forest form after completing the Tirannwn task set	Mune, the area pet can be found wandering the forests of Tirannwn on Tuesday if you have finished the Elite Tirannwn task set.	5	-	-	Master	Diary completion
67MZ	Unlock Mune's Ice form after completing the Fremennik task set	Mune, the area pet can be found wandering the Fremennik Province on Wednesday if you have finished the Elite Fremennik task set.	5	-	-	Master	Diary completion
QV3B	Unlock Mune's Swamp form after completing the Morytania task set	Mune, the area pet can be found wandering the swamps of Morytania on Thursday if you have finished the Elite Morytania task set.	5	-	-	Master	Diary completion
DQWX	Unlock Mune's Wilderness form after completing the Wilderness task set	Mune, the area pet can be found wandering the Wilderness on Friday if you have finished the Elite Wilderness task set. Surely you know by now - watch out for PKers!	5	-	-	Master	Diary completion
R8YX	Obtain the Remototem top	There is a chance of obtaining the Remototem top upon selling your animals to a buyer at the Ranch out of Time.	1	-	Easy	Medium	Tiers for farming level for frogs
G7W4	Construct the Remote Totem Charging Point in the base camp on Anachronia	Requires 150,000 each of Wood, Vines and Stone as well as a complete Remototem. Note: Do not do this before completion of task DVW4 in Medium Tier!	2	-	-	Medium	Tier of forced collection of totem for researchers
9XDM	Activate any totem along the Anachronia coast	Once you have found the three pieces of any totem (except the remototem, which can only be built in the base camp) complete the ritual to activate it.	3	Medium	-	Hard	Drops in hard tier
78J7	Construct the tier 3 Town Hall on Anachronia	The cumulative costs are listed on the respective section on the wiki-page.	2	Easy	Medium	Hard	No requirements
KZ49	Construct the tier 3 Storehouse on Anachronia	The cumulative costs are listed on the respective section on the wiki-page.	2	Easy	Medium	Hard	No requirements
B2Z4	Construct the tier 3 Sleeping quarters on Anachronia	The cumulative costs are listed on the respective section on the wiki-page.	2	Easy	Medium	Hard	No requirements
M4K6	Construct the tier 3 Bait box on Anachronia	The cumulative costs are listed on the wiki-page.	3	Medium	Hard	Elite	Level requirements
Z27K	Construct the tier 3 Spa on Anachronia	The cumulative costs are listed on the respective section on the wiki-page.	4	-	-	Elite	Level requirements
9829	Construct the tier 3 Hunter lodge on Anachronia	The cumulative costs are listed on the respective section on the wiki-page.	4	Hard	Hard	Elite	Level requirements
4QWK	Construct the tier 3 Player lodge on Anachronia	The cumulative costs are listed on the respective section on the wiki-page.	4	-	-	Elite	Level requirements
XV2M	Construct the tier 3 Slayer lodge on Anachronia	The cumulative costs are listed on the respective section on the wiki-page.	4	-	Hard	Elite	Level requirements
VM56	Construct the four deposit boxes found on Anachronia	Each deposit box requires 30,000 wood and stone to construct.	3	-	Medium	Hard	No requirements
78QQ	Unlock the Supply Discount at the Mazcab Emergency Merchants	Requires 100 reputation on Mazcab. Up to 90 reputation can be gained per day - 45 from Trinks' tasks and 45 from a complete Nemi Forest run.	1	-	-	Beginner	Forced by 295 rep task
KZ4Z	Unlock access to the bank at the canal on Mazcab	Requires 500 reputation on Mazcab. Up to 90 reputation can be gained per day - 45 from Trinks' tasks and 45 from a complete Nemi Forest run.	1	-	-	Beginner	Low amount of rep
B2ZD	Unlock the first batch of fast travel routes on Mazcab	Requires 750 reputation on Mazcab. Up to 90 reputation can be gained per day - 45 from Trinks' tasks and 45 from a complete Nemi Forest run.	2	-	Beginner	Easy	Low amount of rep
M4KQ	Unlock the Supply Discount+ at the Mazcab Emergency Merchants	Requires 1,000 reputation on Mazcab. Up to 90 reputation can be gained per day - 45 from Trinks' tasks and 45 from a complete Nemi Forest run.	2	-	Beginner	Easy	Low amount of rep
Z27X	Unlock the 'the Reputable' title	Requires 1,250 reputation on Mazcab. Up to 90 reputation can be gained per day - 45 from Trinks' tasks and 45 from a complete Nemi Forest run.	2	Beginner	Easy	Medium	More than two weeks of rep
982B	Unlock access to the bank at the waterfall on Mazcab	Requires 1,500 reputation on Mazcab. Up to 90 reputation can be gained per day - 45 from Trinks' tasks and 45 from a complete Nemi Forest run.	2	Beginner	Easy	Medium	More than two weeks of rep
4QWE	Unlock the ability to place your house on Mazcab	Requires 1,750 reputation on Mazcab. Up to 90 reputation can be gained per day - 45 from Trinks' tasks and 45 from a complete Nemi Forest run.	2	Beginner	Easy	Medium	More than two weeks of rep
XV2Y	Unlock the second batch of fast travel routes on Mazcab	Requires 2,000 reputation on Mazcab. Up to 90 reputation can be gained per day - 45 from Trinks' tasks and 45 from a complete Nemi Forest run.	3	Easy	Medium	Hard	More than three weeks of rep
NXGW	Unlock the Goebie pet	Requires 2,500 reputation on Mazcab. Up to 90 reputation can be gained per day - 45 from Trinks' tasks and 45 from a complete Nemi Forest run.	3	Easy	Medium	Hard	More than three weeks of rep
JM93	Unlock the 'of the Goebies' title	Requires 3,000 reputation on Mazcab. Up to 90 reputation can be gained per day - 45 from Trinks' tasks and 45 from a complete Nemi Forest run.	4	Easy	Medium	Hard	More than four weeks of rep
R84K	Unlock the ability to reroll a raids loot once per reset	Requires the maximum 5,000 reputation on Mazcab. Up to 90 reputation can be gained per day - 45 from Trinks' tasks and 45 from a complete Nemi Forest run.	5	Medium	Hard	Elite	More than seven weeks of rep
YVE5	Find Lucifurr	Can be found wandering Menaphos on Tuesdays.	1	-	-	Beginner	Expected with Menaphos access
85Q6	Find Takhuit	Can be found wandering Menaphos on Wednesdays.	1	-	-	Beginner	Expected with Menaphos access
VVYB	Find Fenekh	Can be found wandering Menaphos on Thursdays.	1	-	-	Beginner	Expected with Menaphos access
2QJ4	Find Nodjmet	Can be found wandering Menaphos on Fridays.	1	-	-	Beginner	Expected with Menaphos access
E274	Find Blanchy	Can be found wandering Menaphos on Saturdays.	1	-	-	Beginner	Expected with Menaphos access
6QQ8	Find Hetepheres	Can be found wandering Menaphos on Sundays.	1	-	-	Beginner	Expected with Menaphos access
